Day,Num,pH7.0V,pH7.5V,pH8.1S,pH8.1V,pH7.0S,pH7.5S
D2,101,7.007085,7.512829,8.100738,8.015171,6.999315,7.496834
D2,102,7.062964,7.539185,8.101232,8.01926,6.997723,7.474611
D2,103,7.077634,7.555576,8.100742,8.039425,6.99726,7.479282
D2,104,7.086308,7.556105,8.09934,8.042508,6.999107,7.473162
D2,105,7.090114,7.555541,8.087737,8.049335,6.998789,7.465593
D2,106,7.106045,7.572951,8.100328,8.050372,6.998449,7.489255
D2,107,7.105749,7.597567,8.102173,8.05041,6.999631,7.491405
D2,108,7.106118,7.599168,8.101368,8.012175,6.998901,7.491528
D2,109,7.106695,7.597536,8.100738,7.915873,6.997669,7.491254
D2,110,7.161408,7.610738,8.101027,7.932054,6.999262,7.49136
D2,111,7.175905,7.639421,8.100706,7.947647,6.999361,7.489571
D2,112,7.175899,7.651741,8.100696,7.967206,6.999068,7.491174
D2,113,7.176677,7.651138,8.100722,7.979631,7.001162,7.496753
D2,114,7.211373,7.672242,8.101032,7.973691,7.000126,7.491634
D2,115,7.214646,7.698489,8.101032,7.70687,6.99924,7.496897
D2,116,7.214399,7.707181,8.100722,7.757463,6.999126,7.497325
D2,117,7.215402,7.706804,8.100658,7.797053,6.999677,7.49092
D2,118,7.257695,7.715427,8.101075,7.835276,6.999263,7.528088
D2,119,7.26811,7.739265,8.100337,7.863271,6.999429,7.415147
D2,120,7.268167,7.7507,8.095676,7.893726,6.998525,7.437875
D2,121,7.269249,7.750947,8.100683,7.892359,6.999898,7.477955
D2,122,7.313468,7.756525,8.101032,7.878074,6.998605,7.457854
D2,123,7.32281,7.769157,8.100696,7.637426,6.999788,7.495066
D2,124,7.323971,7.781732,8.100732,7.633254,7.000508,7.491481
D2,125,7.324427,7.796266,8.100995,7.692777,6.999355,7.490898
D2,126,7.295458,7.762072,8.100742,7.748262,6.998814,7.497191
D2,127,7.259469,7.679997,8.100984,7.789355,6.997907,7.491442
D2,128,7.25984,7.704889,8.100696,7.76166,6.999222,7.491426
D2,129,7.260557,7.72938,8.100984,7.789221,6.998914,7.491409
D2,130,7.246305,7.721768,8.100722,7.761274,6.970784,7.527127
D2,131,7.205105,7.64221,8.100952,7.507398,6.973792,7.428368
